CATEGORIA,PREGUNTA,RESPOSTA,DATA
Ciència,"Quin model de pistola, patentat el 1898 per Georg Luger, pren el seu nom d'una frase de Flavi Renat Vegeci, de vegades atribuida erròniament a Juli Cèsar?",Parabellum,15/11/2022
Ciència,"Quin és el primer nombre perfecte, és a dir, el primer nombre enter que és igual a la suma dels seus divisors positius, excepte ell mateix?",6,15/11/2022
Cine i música,"Quin artista dels EUA, que va ser assassinat a Las Vegas el 1996, va ser rebatejat quan tenia un any amb el nom d'un antic líder quitxua del segle XVIII?",2Pac Shakur,15/11/2022
Cine i música,Relaciona aquestes actrius del Hollywood clàssic amb el seu nom de naixement,"Mary Pickford - Gladys Marie Smith, Joan Crawford - Lucille Fay Le Sueur, Lauren Bacall - Betty Joan Perske",15/11/2022
Esports,"Quin important premi esportiu va ser atorgat per primera vegada a Stanley Matthews, recordat per tenir una dilatada carrera esportiva fins a la seua retirada el 1965 als 50 anys?",Baló d'or,15/11/2022
Geografia,"El nom de quin pais americà prové del seu particular relleu marí, que el fa especialment adequat per a fondejar, i que va començar a ser emprat pels conqueridors espanyols al segle XVI",Honduras,15/11/2022
Història,Relaciona aquests reis de la dinastia dels Àustria amb la seua reina,"Felip II - Anna d'Austria, Felip III - Margarida d'Àustria, Felip IV - Isabel de Borbó",15/11/2022
Temes valencians,"En quina localitat de la Safor es troba la casa natal de Gregori Maians, des d'on va escriure gran part de la seua obra literària en la segona meitat del segle XVIII?",Oliva,15/11/2022
Ciència,"Quin era el nom del segon administrador de la NASA entre 1961 i 1968, a partir del qual es va batejar l'aparell que actualment observa algun dels esdeveniments i objectes més distants de l'univers, com la formació de les primeres galàxies?",James Webb,21/02/2023
Ciència,Quina unitat de longitud es defineix com la distància de la Terra a un estel que té una paral·laxi d'1 segon d'arc sexagesimal?,Parsec,21/02/2023
Cine i música,"Quin grup musical de l'estat espanyol, fundat el 1992, s'anomena com una regió situada en les proximitats del riu Hudson on va tindre lloc una important batalla l'any 1777?",Saratoga,21/02/2023
Cine i música,"Quin producte comercialitza l'empresa Wernham Hogg, fundada a Berkshire (Regne Unit) en 2001, i posteriorment traslladada a Scranton, Pennsylvania i reanomenada com Dunder Mifflin?",Paper,21/02/2023
Esports,Digueu tres estats sobirans on s'han celebrat el Jocs Olímpics d'hivern i d'estiu en tres o més ciutats diferents,"EUA (St. Louis, Los Angeles, Atlanta, Lake Placid, Squaw Valley, Salt Lake City), França (Paris, Chamonix, Grenoble, Albertville), Alemanya (Garmisch-Partenkirchen, Berlín, Munich,), Itàlia (Roma, Cortina d'Ampezzo, Torí), Japó (Tokio, Sapporo, Nagano)",21/02/2023
Geografia,"En quina localitat de Luxemburg es va signar, el 14 de juny de 1985, un important acord que va permetre l'eliminació dels controls en les fronteres i la lliure circulació de persones i mercaderies en la Unió Europea?",Schengen,21/02/2023
Història,"En quina regió històrica d'Àsia Menor es troba l'origen del barret que és un dels atributs del deu Mitra, i que a partir dels segles XVIII i XIX s'associa als conceptes de llibertat i republicanisme?",Frigia,21/02/2023
Temes valencians,Classifica aquests museus de la ciutat de València segons siguen titularitat de la Generalitat Valenciana o de la Diputació de València,"GVA - IVAM, Diputació - Etnologia, MuVIM, Prehistòria, Taurí",21/02/2023
Ciència,Quin animal dona nom a un llenguatge de programació que va ser creat el 1991 per l'informàtic neerlandès Guido van Rossum,Python,28/02/2023
