CATEGORIA,PREGUNTA,RESPOSTA,DATA
Art i literatura,"Quina frase sol acompanyar el retrat de Naomi Parker, que va ser creat el 1943 per J. Howard Miller en una campanya publicitària per a l'empresa Westinghouse Electric?",We can do it!,15/11/2022
Ciència,Relaciona aquestes hormones amb la glàndula o òrgan que les produeixen,"Cortisol - Glàndules suprarenals, Insulina - Pàncrees, Melatonina - Glàndula pineal",15/11/2022
Cine i música,"Quina ciutat costanera dels EUA, coneguda per la seua activa vida cultural i musical, apareixia en el títol del disc de debut d'un famós artista nascut al mateix estat?","Asbury Park, NJ",15/11/2022
Esports,Digueu tres equips que hagen guanyat almenys una vegada la Champions League femenina de futbol,"Olympique de Lió, FFC Frankfurt, Umea IK, VfL Wolfsburg, Turbine Potsdam, FC Barcelona, Arsenal, MSV Duisburg",15/11/2022
Geografia,Digueu quatre estats sobirans en el quals tant el seu nom com el de la seua capital tinguen deu lletres o més,"Burkina Faso - Ouagadougou, República del Congo - Brazzaville, Costa d'Ivori - Yamoussoukro, República Dominicana - Santo Domingo, El Salvador - San Salvador, Eslovàquia - Bratislava, Estats Units - Washington D.C., Luxemburgo - Luxemburgo, Madagascar - Antananarivo, Nova Zelanda - Wellington, Papua Nova Guinea - Port Moresby, San Cristóbal y Nieves - Basseterre, Trinidad y Tobago - Puerto España, Ciutat del Vaticà - Ciutat del Vaticà",15/11/2022
Història,"Ordeneu, de major a menor duració, les cinc repúbliques de la història de França",III (70 anys) V (62 anys) I-IV (12 anys) II (4 anys),15/11/2022
Art i literatura,"Quina illa, amb capital en Amaurota, va ser descrita el 1516 per Hitlodeu, membre de la tripulació d'Américo Vespucio, com un lloc on no existia la propietat privada, hi havia llibertat religiosa i una moral hedonista i pacifista?",Utopia ,21/02/2023
Ciència,"Quin fruit de l'arbre del gènere Myristica, que comparteix nom amb un altre fruit molt popular, és l'únic fruit tropical que és font de dues espècies diferents, que s'extrauen de la llavor i de la cobertura que l'envolta?",Nou moscada (nou moscada i macís),21/02/2023
Ciència,"Quins fenòmens naturals, l'últim dels quals va tindre lloc fa 12.000 anys, es coneixen amb noms com Biber, Donau, Günz, Mindel, Riss o Würm?",Glaciacions,21/02/2023
Cine i música,"Com es titula l'ària més coneguda d'una òpera de Giacomo Puccini estrenada el 1926, i on s'insta als habitants de Pekín a no descansar fins que la cruel princesa que dóna nom a l'òpera descobrisca el nom del seu pretenent?",Nessum dorma (Turandot),21/02/2023
Esports,"Quin és l'únic equip que ha guanyat la Champions League masculina al segle XXI vestint un pantaló que no siga de color roig, blau, blanc o negre?",Reial Madrid (Morat en 2017),21/02/2023
Geografia,Digueu tres arxipèlags que formen part del nom col·lectiu conegut com Macaronèsia,"Azors, Canàries, Cap Verd, Madeira, Illes Salvatges",21/02/2023
Geografia,"Quina història regió de França, batejada en època romana per denominar el territori al sud del riu Garona, i que després va donar nom a un ducat medieval, va desapareixer el 31 de desembre de 2015 en fusionar-se amb les regions veïnes de Poitou-Charentes i Llemosí?",Aquitània,21/02/2023
Temes valencians,"Amb quina película, que comparteix nom amb el de la seua protagonista, va estar nominat al Goya a Millor Direcció l'únic director nascut al País Valencià que no és Luís García Berlanga que ha estat alguna vegada nominat en aquesta categoria?",Verónica (Paco Plaza),21/02/2023
Ciència,"Amb quin acrònim es coneix a la norma que va ser desenvolupada per l'enginyer alemany Walter Porstmann, i que tracta d'estandaritzar les mesures de superfície a partir de la proporció entre el costat major i el costat menor?",DIN (Deutsches Institut für Normung),28/02/2023
Ciència,"Quin fenòmen, encunyat el 1986 i que es refereix a que, després d'haver aprés algun fet específic, aquest apareix de nou moltes vegades en un curt periode de temps, està composat pels dos cognoms dels integrants més importants d'una organització guerrillera alemanya activa entre 1970 i 1998?",Efecte Baader-Meinhof,28/02/2023
Cine i música,"Què tenia tatuat el personatge principal d'una pel·lícula de 1955, basada en una novel·la de Davis Grubb publicada dos anys abans, i que a causa de la seua pobre recepció de crítica i públic va ser l'única dirigida pel seu realitzador?","LOVE / HATE (La noche del cazador, Charles Laughton)",28/02/2023
Miscelània,"Com es representa gràficament la pleca, que s'utilitza en matemàtiques per a representar el valor absolut i en informàtica per a designar les canonades)",|,28/02/2023
Esports,"Ordeneu, de més antic a més recent, els següents rècords mundials d'atletisme a l'aire lliure en categoria masculina","Salt de llongitud (Mike Powell, 1991) - Salt d'altura (Javier Sotomayor, 1993) - 100 metres llisos (Usain Bolt, 2009) - Marató (Eliud Kipchoge, 2022)",28/02/2023
Geografia,"Quin territori africà, autodeclarat independent el 1991, i malgrat que poseeix constitució, moneda i govern propi, és l'únic del món que no està reconegut per cap altre territori?",Somalilandia,28/02/2023
Història,"Amb què va assenyalar a les tropes cristianes el camí cap al campament musulmà, la vespra de la batalla de Las Navas de Tolosa el 1212, un pastor mossàrab anomenat Martín Alhaja, fet pel qual se'l va atorgar un llinatge i un cognom que va fer popular un descendent seu després de recòrrer més de 10.000 km a principis del segle XVI? ",Cabeza de Vaca,28/02/2023
Temes valencians,Relacioneu aquestes novel·les de Vicente Blasco Ibáñez amb el nom d'un dels seus personatges principals,"Juan Gallardo - Sangre y Arena, Tío Paloma - Cañas y barro, Manuela Pajares - Arroz y tartana",28/02/2023
Ciència,Ordeneu aquest minerals segons la seua aparició en l'escala de Mohs,Guix - Fluorita - Quars - Corindó,7/03/2023
Ciència,"Com es coneix popularment la manifestació clínica més freqüent de l'hallux valgus, que afecta a entre un 15 i un 35 per cent de la població, i majoritàriament al gènere femení ?",Galindó (Juanete),7/03/2023
Art i literatura,"En quina ciutat, on es va situar part de l'acció d'una coneguda novela de 1969, va tindre lloc un dels atacs aeris més devastadors de la Segona Guerra Mundial, en el qual van morir entre 25.000 i 40.000 persones?",Dresde,7/03/2023
Miscelània,"Quines criatures es poden trobar a la regió tropical d'Alola, entre les quals es troben espècies anomenades Rowlet, Litten, Popplio, Vikavolt o Cutiefly?",Pokemon,7/03/2023
Esports,Digue el nom de tres presidents d'algun dels equips que formen part de la King's League,"Iker Casillas, Juan Guarnizo, Adri Contreras, Gerard Romero, Kun Agüero, Perxitaa, Rivers, Ibai Llanos, Spursito, TheGrefg, DjMaRiiO, Germans Buyer",7/03/2023
Geografia,"Quins són els únics dos estats sobirans del món que es troben doblement aillats, és a dir, que per accedir al mar s'han de creuar dues fronteres?","Liechtenstein (Austria i Suissa) i Uzbekistán (Afganistán, Kazajistán, Kirguistán, Tayikistán i Turkmenistán)",7/03/2023
Història,Relaciona els mesos del calendari republicà francés amb el seu equivalent del calendari gregorià,"Brumari - 22, 23 o 24 d'octubre, Ventós - 19, 20 o 21 de febrer, Floreal - 20 o 21 d'abril, Mesidor - 19 o 20 de juny",7/03/2023
Temes valencians,Cristóbal Sorní,,7/03/2023
Ciència,"Quin element químic, metaloide de nombre atòmic 51, deu el seu nom a l'estibina, mineral del qual s'extrau principalment, i que també és l'origen del seu símbol a la taula periòdica, tot i que aquesta denominació està en desús i es coneix amb un altra? ",Antimoni,14/03/2023
Ciència,"El cognom de quin metge italià, que va compartir el Premi Nobel de Medicina amb Santiago Ramón y Cajal el 1906, designa un orgànul present en totes les cèl·lules eucariotes que té com a funció principal completar el processament i eventual secreció d'algunes macromolècules?",Camillo Golgi,14/03/2023
Miscelània,"Amb quin nom genèric, que va donar títol a una pel·lícula espanyola de 2015 protagonitzada per Ingrid García-Jonsson, es coneixia als guerrers vikings que combatien en una espècie d'estat de trànsit, amb fúria cega i insensibles al dolor?",Berserker,14/03/2023
Miscelània,"Amb quina paraula designem despectivament els llibres o objectes voluminosos i pesats, terme que deriva del grec «criat per la seua àvia» i que es refereix a la creença que les iaies crien xiquets grossos i ben alimentats?",Mamotreto,14/03/2023
Esports,"En quina disciplina per parelles, que significa «festa alegre» en la seua llengua original, va aconseguir Espanya la seua primera medalla d'or a uns JJOO a París 1900?","Cesta Punta, Pilota Basca, Jai alai",14/03/2023
Geografia,"A quin estat sobirà actual equivalia, quasi en la seua totalitat, la República de Batavia, un estat satèl·lit de la Primera República Francesa que només va existir entre 1795 i 1806?",Països Baixos,14/03/2023
Història,Digueu quatre persones no nascudes als EUA que hagen sigut escollides com a «Persona de l'any» per la revista Time en el segle XXI,"Vladimir Putin, Papa Francesc, Angela Merkel, Greta Thunberg, Elon Musk, Volodímir Zelenski",14/03/2023
Temes valencians,Digueu dos municipis del País Valencià que es troben a més de 1.000 d'altitud sobre el nivell del mar,"Vistabella del Maestrat, Ares del Maestrat, Castellfort, La Yesa, Castell de Cabres, Villafranca del Cid, Culla, Portell de Morella, Chodos, Olocau del Rei, Pina de Montalgrao, Sacanyet, El Toro, Alpuente, Puebla de San Miguel",14/03/2023
Ciència,"Quin animal, endèmic d'un únic continent i el nom del qual significa «senyor del pasto» o «menjador d'herba», és l'espècie més gran del seu ordre, amb un tamany que arriba als 130 cm de llarg i els 65 kg?",Capibara,21/03/2023
Ciència,"Com es coneix popularment al fenomen social que es va produir principalment als països centreeuropeus entre els segles XIV i XVII, i que té origen incert amb teories que van des de la ingestió del fong banya del sègol, la histèria col·lectiva o el càstig diví?",Ball de San Vito,21/03/2023
Cine i música,"Quin era el cognom, que va fer famòs al seu oncle, tenia la primera persona nascuda a l'estat espanyol en guanyar un Oscar el 1970 per la invenció d'un estabilitzador óptic que permetia filmar escenes aèries?",Juan de la Cierva y Hoces,21/03/2023
Cine i música,"Amb quin nom es va donar a conèixer, el 31 de març de 1958, un jove que vivia en una cabanya de fusta a Louisiana, prop de New Orleans, i que encara que mai va aprendre a llegir o escriure massa bé, la seua mare li deia que algun dia la gent vindria des de molt lluny per a veure-lo i el seu nom estaria escrit amb lletres brillants?",Johnny B. Goode,21/03/2023
Esports,Relaciona les següents imatges amb diferents moviments d'apertura en els escacs,"1 - Gambit de dama, 2 - Defensa siciliana, 3 - Obertura espanyola",21/03/2023
Geografia,"El nom de quina ciutat, que va ser fundada el 1608 per Samuel de Champlain, s'utilitza com a denominació per a la seua lletra en l'alfabet fonètic de l'Organització d'Aviació Civil Internacional?",Quebec,21/03/2023
